id,games_id,player_id,points,def_rebounds,off_rebounds,steals,blocks,assists,fg3a,fg3m,fgm,fga,fta,ftm,turnovers,mins,fouls,created_at,updated_at,plus_minus,team_id
201,10,161,21,2,0,2,2,1,6,4,6,10,7,5,3,32,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,19,25
202,10,157,7,10,1,0,0,2,5,1,3,10,0,0,1,28,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,23,25
203,10,159,9,8,3,1,1,3,1,0,4,7,3,1,2,23,4,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-9,25
204,10,164,21,3,0,0,1,3,8,5,7,10,2,2,2,1,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,16,25
205,10,156,18,4,1,0,3,8,4,0,6,16,6,6,1,24,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,3,25
206,10,173,12,3,4,0,0,2,0,0,6,8,0,0,0,20,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,30,25
207,10,163,28,3,0,1,1,6,7,3,10,15,6,5,0,26,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,26,25
208,10,377,7,6,0,0,0,1,8,1,3,10,0,0,1,22,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-5,25
209,10,171,0,0,0,1,0,1,0,0,0,0,0,0,1,7,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,3,25
210,10,167,3,1,3,0,0,0,1,1,1,2,0,0,1,16,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,0,25
211,10,158,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-4,25
212,10,162,5,0,1,0,0,0,0,0,1,2,3,3,0,4,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-1,25
213,10,172,0,0,0,0,0,2,0,0,0,2,0,0,0,4,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-1,25
214,10,263,14,3,0,2,0,1,4,2,5,8,2,2,2,30,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-10,12
215,10,260,22,5,1,2,0,5,4,0,9,20,9,4,2,32,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-19,12
216,10,249,16,6,0,1,5,1,10,3,5,15,5,3,2,21,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-2,12
217,10,256,9,1,0,1,0,2,3,1,4,6,0,0,1,0,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-4,12
218,10,255,14,1,1,2,0,9,4,2,5,11,4,2,3,27,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-22,12
219,10,262,4,0,2,0,0,0,3,0,2,5,0,0,0,10,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-17,12
220,10,302,8,3,3,0,1,1,3,2,3,6,0,0,0,20,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-3,12
221,10,259,3,0,1,0,0,0,2,1,1,3,0,0,0,17,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-15,12
222,10,254,6,3,1,0,0,3,0,0,2,7,2,2,0,17,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,1,12
223,10,251,2,2,1,0,0,3,2,0,1,5,0,0,0,16,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-12,12
224,10,258,13,2,2,1,0,1,7,3,4,9,2,2,0,15,5,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-1,12
225,10,252,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,4,12
226,11,360,16,1,2,0,0,2,7,2,6,13,3,2,1,34,4,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,4,26
227,11,349,13,8,1,0,0,3,1,1,6,12,0,0,0,39,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,17,26
228,11,361,26,8,3,1,3,2,1,0,10,20,6,6,1,38,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,15,26
